fileID,f1,f2,vot,notes
ne02_kaka,'f1:2','f2:2','vot:2',
ne02_kaka1,'f1:2','f2:2','vot:2',
ne02_kaka2,'f1:2','f2:2','vot:2',
ne02_keke,'f1:2','f2:2','vot:2',
ne02_keke1,'f1:2','f2:2','vot:2',
ne02_keke2,'f1:2','f2:2','vot:2',
ne02_kiki,'f1:2','f2:2','vot:2',
ne02_kiki1,'f1:2','f2:2','vot:2',
ne02_kiki2,'f1:2','f2:2','vot:2',
ne02_koko,'f1:2','f2:2','vot:2',
ne02_koko1,'f1:2','f2:2','vot:2',
ne02_koko2,'f1:2','f2:2','vot:2',
ne02_kuku,'f1:2','f2:2','vot:2',
ne02_kuku1,'f1:2','f2:2','vot:2',
ne02_kuku2,'f1:2','f2:2','vot:2',
ne02_paka,'f1:2','f2:2','vot:2',
ne02_paka1,'f1:2','f2:2','vot:2',
ne02_paka2,'f1:2','f2:2','vot:2',
ne02_peke,'f1:2','f2:2','vot:2',
ne02_peke1,'f1:2','f2:2','vot:2',
ne02_peke2,'f1:2','f2:2','vot:2',
ne02_piki,'f1:2','f2:2','vot:2',
ne02_piki1,'f1:2','f2:2','vot:2',
ne02_piki2,'f1:2','f2:2','vot:2',
ne02_poko,'f1:2','f2:2','vot:2',
ne02_poko1,'f1:2','f2:2','vot:2',
ne02_poko2,'f1:2','f2:2','vot:2',
ne02_puku,'f1:2','f2:2','vot:2',
ne02_puku1,'f1:2','f2:2','vot:2',
ne02_puku2,'f1:2','f2:2','vot:2',
ne02_taka,'f1:2','f2:2','vot:2',
ne02_taka1,'f1:2','f2:2','vot:2',
ne02_taka2,'f1:2','f2:2','vot:2',
ne02_teke,'f1:2','f2:2','vot:2',
ne02_teke1,'f1:2','f2:2','vot:2',
ne02_teke2,'f1:2','f2:2','vot:2',
ne02_tiki,'f1:2','f2:2','vot:2',
ne02_tiki1,'f1:2','f2:2','vot:2',
ne02_tiki2,'f1:2','f2:2','vot:2',
ne02_toko,'f1:2','f2:2','vot:2',
ne02_toko1,'f1:2','f2:2','vot:2',
ne02_toko2,'f1:2','f2:2','vot:2',
ne02_tuku,'f1:2','f2:2','vot:2',
ne02_tuku1,'f1:2','f2:2','vot:2',
ne02_tuku2,'f1:2','f2:2','vot:2',
